q_Ainv,d_A,intensity
1.580000,3.976700,4243.806407
1.590000,3.951689,4376.612604
1.600000,3.926991,4499.700209
1.610000,3.902600,4607.205935
1.620000,3.878509,4695.362444
1.630000,3.854715,4762.820828
1.640000,3.831211,4810.765988
1.650000,3.807991,4842.815178
1.660000,3.785051,4864.707807
1.670000,3.762386,4883.811690
1.680000,3.739991,4908.486083
1.690000,3.717861,4947.353549
1.700000,3.695991,5008.540116
1.710000,3.674377,5098.945603
1.720000,3.653015,5223.603204
1.730000,3.631899,5385.179739
1.740000,3.611026,5583.655992
1.750000,3.590392,5816.211463
1.760000,3.569992,6077.320845
1.770000,3.549822,6359.052277
1.780000,3.529879,6651.541226
1.790000,3.510159,6943.600356
1.800000,3.490659,7223.415810
1.810000,3.471373,7479.274998
1.820000,3.452300,7700.270400
1.830000,3.433435,7876.928052
1.840000,3.414775,8001.717744
1.850000,3.396316,8069.413526
1.860000,3.378057,8077.286827
1.870000,3.359992,8025.128879
1.880000,3.342120,7915.112945
1.890000,3.324437,7751.518837
1.900000,3.306940,7540.351332
1.910000,3.289626,7288.889809
1.920000,3.272492,7005.208343
1.930000,3.255536,6697.703817
1.940000,3.238755,6374.664743
1.950000,3.222146,6043.906231
1.960000,3.205707,5712.487765
1.970000,3.189434,5386.521254
1.980000,3.173326,5071.068069
1.990000,3.157380,4770.116381
2.000000,3.141593,4486.624600
2.010000,3.125963,4222.613497
2.020000,3.110488,3979.288596
2.030000,3.095165,3757.175562
2.040000,3.079993,3556.254075
2.050000,3.064968,3376.079516
2.060000,3.050090,3215.886064
2.070000,3.035355,3074.668972
2.080000,3.020762,2951.247235
2.090000,3.006309,2844.310388
2.100000,2.991993,2752.454434
2.110000,2.977813,2674.212102
2.120000,2.963767,2608.081770
2.130000,2.949852,2552.557924
2.140000,2.936068,2506.164145
2.150000,2.922412,2467.487861
2.160000,2.908882,2435.214654
2.170000,2.895477,2408.159064
2.180000,2.882195,2385.288665
2.190000,2.869034,2365.738718
2.200000,2.855993,2348.815758
2.210000,2.843070,2333.989846
2.220000,2.830264,2320.876757
2.230000,2.817572,2309.212623
2.240000,2.804993,2298.824515
2.250000,2.792527,2289.600866
2.260000,2.780170,2281.465411
2.270000,2.767923,2274.357675
2.280000,2.755783,2268.221880
2.290000,2.743749,2263.004796
2.300000,2.731820,2258.661737
2.310000,2.719994,2255.168696
2.320000,2.708270,2252.537847
2.330000,2.696646,2250.833270
2.340000,2.685122,2250.183951
2.350000,2.673696,2250.791668
2.360000,2.662367,2252.932350
2.370000,2.651133,2256.950536
2.380000,2.639994,2263.247670
2.390000,2.628948,2272.265803
2.400000,2.617994,2284.468854
2.410000,2.607131,2300.323680
2.420000,2.596358,2320.282950
2.430000,2.585673,2344.771174
2.440000,2.575076,2374.174377
2.450000,2.564565,2408.832957
2.460000,2.554140,2449.036430
2.470000,2.543800,2495.018157
2.480000,2.533542,2546.947924
2.490000,2.523368,2604.920456
2.500000,2.513274,2668.938550
2.510000,2.503261,2738.890520
2.520000,2.493328,2814.522807
2.530000,2.483472,2895.409870
2.540000,2.473695,2980.924579
2.550000,2.463994,3070.213122
2.560000,2.454369,3162.178790
2.570000,2.444819,3255.478853
2.580000,2.435343,3348.537978
2.590000,2.425940,3439.580458
2.600000,2.416610,3526.681925
2.610000,2.407351,3607.839398
2.620000,2.398162,3681.056705
2.630000,2.389044,3744.440653
2.640000,2.379994,3796.302019
2.650000,2.371013,3835.254588
