unit_count,start_class,feature_group,feature_name,loose_sample_count,formed_reference_sample_count,loose_mean,formed_reference_mean,formed_reference_std,effective_reference_std,std_floor_used,signed_z_deviation,abs_z_deviation
6,axially_misregistered,contact_recovery,contact_fraction_vs_target,25,25,0.014138,0.798782,0.052824,0.052824,false,-14.854051,14.854051
6,axially_misregistered,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.013034,0.803763,0.051347,0.051347,false,-15.399848,15.399848
6,axially_misregistered,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.027273,0.749697,0.147784,0.147784,false,-4.888391,4.888391
6,axially_misregistered,register_phase,axial_register_score,25,25,0.248984,0.892953,0.031662,0.031662,false,-20.338664,20.338664
6,axially_misregistered,register_phase,angular_phase_order_score,25,25,0.988224,0.964478,0.014374,0.014374,false,1.652007,1.652007
6,axially_misregistered,register_phase,refined_angular_phase_score,25,25,0.999662,0.997317,0.002166,0.002166,false,1.082927,1.082927
6,loose_initial,geometric,RMSD_to_formed_seed_A,25,25,14.957231,0.627244,0.093073,0.093073,false,153.964853,153.964853
6,loose_initial,geometric,compactness_score,25,25,0.572634,0.996296,0.004595,0.004595,false,-92.208051,92.208051
6,loose_initial,geometric,radius_of_gyration_A,25,25,21.397070,12.238627,0.085408,0.085408,false,107.231066,107.231066
6,loose_initial,geometric,radial_extent_A,25,25,32.734505,19.016909,0.287144,0.287144,false,47.772581,47.772581
6,loose_initial,geometric,axial_extent_A,25,25,42.534784,33.667749,0.407632,0.407632,false,21.752553,21.752553
6,loose_initial,geometric,helical_axis_alignment_score,25,25,0.073423,0.757174,0.256460,0.256460,false,-2.666106,2.666106
6,loose_initial,contact_recovery,contact_fraction_vs_target,25,25,0.046529,0.798782,0.052824,0.052824,false,-14.240862,14.240862
6,loose_initial,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.046754,0.803763,0.051347,0.051347,false,-14.743141,14.743141
6,loose_initial,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.044546,0.749697,0.147784,0.147784,false,-4.771512,4.771512
6,loose_initial,register_phase,axial_register_score,25,25,0.421051,0.892953,0.031662,0.031662,false,-14.904211,14.904211
6,loose_initial,register_phase,angular_phase_order_score,25,25,0.987055,0.964478,0.014374,0.014374,false,1.570697,1.570697
