unit_count,pair_id,t,compactness_score,contact_fraction_vs_target,CYP_MEP_contact_fraction_vs_target,axial_register_score,angular_phase_order_score,refined_angular_phase_score,rmsd_formedness_score,seed_formation_score,notes
4,2,0.600,0.802272,0.440310,0.456993,0.673295,0.986887,,0.630718,0.706696,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.650,0.826833,0.475872,0.494637,0.698879,0.986490,,0.662821,0.730179,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.700,0.851395,0.511434,0.532282,0.724462,0.986093,,0.694924,0.753661,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.750,0.875956,0.546996,0.569926,0.750046,0.985696,,0.727027,0.777144,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.800,0.900518,0.582558,0.607571,0.775630,0.985299,,0.759130,0.800627,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.850,0.925079,0.618120,0.645215,0.801213,0.984902,,0.791233,0.824109,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.900,0.949641,0.653682,0.682860,0.826797,0.984505,,0.823336,0.847592,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,0.950,0.974202,0.689244,0.720504,0.852380,0.984108,,0.855439,0.871074,linear interpolation in oriented order-parameter space; not atomistic dynamics
4,2,1.000,0.998764,0.724806,0.758149,0.877964,0.983711,,0.887542,0.894557,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.000,0.532508,0.009044,0.009908,0.367101,0.993149,,0.256718,0.431704,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.050,0.555728,0.046867,0.048266,0.393371,0.992336,,0.288491,0.455358,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.100,0.578947,0.084690,0.086624,0.419641,0.991522,,0.320264,0.479013,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.150,0.602167,0.122513,0.124982,0.445911,0.990709,,0.352036,0.502667,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.200,0.625387,0.160336,0.163340,0.472181,0.989896,,0.383809,0.526322,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.250,0.648607,0.198159,0.201699,0.498451,0.989083,,0.415582,0.549976,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.300,0.671826,0.235982,0.240057,0.524721,0.988269,,0.447355,0.573631,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.350,0.695046,0.273805,0.278415,0.550991,0.987456,,0.479127,0.597285,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.400,0.718266,0.311628,0.316773,0.577261,0.986643,,0.510900,0.620940,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.450,0.741486,0.349451,0.355131,0.603531,0.985830,,0.542673,0.644594,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.500,0.764706,0.387274,0.393489,0.629800,0.985016,,0.574446,0.668249,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.550,0.787925,0.425097,0.431847,0.656070,0.984203,,0.606218,0.691903,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.600,0.811145,0.462920,0.470205,0.682340,0.983390,,0.637991,0.715557,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.650,0.834365,0.500743,0.508563,0.708610,0.982577,,0.669764,0.739212,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.700,0.857584,0.538566,0.546921,0.734880,0.981764,,0.701537,0.762866,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.750,0.880804,0.576389,0.585280,0.761150,0.980950,,0.733309,0.786521,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.800,0.904024,0.614212,0.623638,0.787420,0.980137,,0.765082,0.810175,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.850,0.927244,0.652035,0.661996,0.813690,0.979324,,0.796855,0.833830,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.900,0.950464,0.689858,0.700354,0.839960,0.978510,,0.828628,0.857484,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,0.950,0.973683,0.727681,0.738712,0.866230,0.977697,,0.860400,0.881139,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,0,1.000,0.996903,0.765504,0.777070,0.892500,0.976884,,0.892173,0.904793,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.000,0.538526,0.033592,0.036093,0.359950,0.980834,,0.247004,0.431981,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.050,0.561398,0.069735,0.072788,0.385797,0.979899,,0.278288,0.455023,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.100,0.584270,0.105879,0.109483,0.411644,0.978963,,0.309571,0.478065,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.150,0.607143,0.142022,0.146178,0.437490,0.978027,,0.340855,0.501107,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.200,0.630015,0.178166,0.182873,0.463337,0.977092,,0.372139,0.524149,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.250,0.652887,0.214309,0.219568,0.489184,0.976156,,0.403422,0.547192,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.300,0.675759,0.250452,0.256263,0.515031,0.975221,,0.434706,0.570234,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.350,0.698632,0.286596,0.292958,0.540878,0.974286,,0.465989,0.593276,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.400,0.721504,0.322739,0.329653,0.566724,0.973350,,0.497273,0.616318,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.450,0.744376,0.358883,0.366348,0.592571,0.972414,,0.528556,0.639360,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.500,0.767248,0.395026,0.403043,0.618418,0.971479,,0.559840,0.662402,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.550,0.790121,0.431169,0.439738,0.644265,0.970544,,0.591124,0.685444,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.600,0.812993,0.467313,0.476433,0.670112,0.969608,,0.622407,0.708486,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.650,0.835865,0.503456,0.513128,0.695958,0.968672,,0.653691,0.731528,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.700,0.858737,0.539600,0.549823,0.721805,0.967737,,0.684974,0.754570,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.750,0.881610,0.575743,0.586518,0.747652,0.966801,,0.716258,0.777613,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.800,0.904482,0.611886,0.623213,0.773499,0.965866,,0.747541,0.800655,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.850,0.927354,0.648030,0.659908,0.799346,0.964931,,0.778825,0.823697,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.900,0.950227,0.684173,0.696603,0.825192,0.963995,,0.810108,0.846739,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,0.950,0.973099,0.720317,0.733298,0.851039,0.963059,,0.841392,0.869781,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,1,1.000,0.995971,0.756460,0.769993,0.876886,0.962124,,0.872676,0.892823,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.000,0.548926,0.030362,0.033263,0.429608,0.985099,,0.250622,0.448923,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.050,0.571480,0.070026,0.072824,0.453341,0.984298,,0.283228,0.472474,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.100,0.594033,0.109690,0.112385,0.477073,0.983496,,0.315833,0.496025,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.150,0.616587,0.149354,0.151947,0.500806,0.982695,,0.348439,0.519576,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.200,0.639141,0.189018,0.191508,0.524539,0.981894,,0.381044,0.543127,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.250,0.661695,0.228682,0.231069,0.548272,0.981093,,0.413650,0.566678,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.300,0.684248,0.268346,0.270630,0.572004,0.980291,,0.446255,0.590229,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.350,0.706802,0.308010,0.310191,0.595737,0.979490,,0.478861,0.613780,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.400,0.729356,0.347674,0.349753,0.619470,0.978689,,0.511467,0.637331,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.450,0.751909,0.387338,0.389314,0.643202,0.977888,,0.544072,0.660882,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.500,0.774463,0.427003,0.428875,0.666935,0.977086,,0.576678,0.684432,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.550,0.797017,0.466667,0.468436,0.690668,0.976285,,0.609283,0.707983,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.600,0.819570,0.506331,0.507997,0.714400,0.975484,,0.641889,0.731534,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.650,0.842124,0.545995,0.547559,0.738133,0.974683,,0.674494,0.755085,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.700,0.864678,0.585659,0.587120,0.761866,0.973881,,0.707100,0.778636,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.750,0.887231,0.625323,0.626681,0.785598,0.973080,,0.739705,0.802187,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.800,0.909785,0.664987,0.666242,0.809331,0.972279,,0.772311,0.825738,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.850,0.932339,0.704651,0.705803,0.833064,0.971478,,0.804917,0.849289,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.900,0.954893,0.744315,0.745365,0.856797,0.970676,,0.837522,0.872840,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,0.950,0.977446,0.783979,0.784926,0.880529,0.969875,,0.870128,0.896391,linear interpolation in oriented order-parameter space; not atomistic dynamics
5,2,1.000,1.000000,0.823643,0.824487,0.904262,0.969074,,0.902733,0.919942,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.000,0.551620,0.004023,0.004361,0.382183,0.982443,,0.229872,0.430028,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.050,0.573800,0.044397,0.044859,0.409671,0.980368,,0.262983,0.454243,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.100,0.595980,0.084770,0.085358,0.437159,0.978293,,0.296094,0.478459,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.150,0.618159,0.125144,0.125856,0.464647,0.976218,,0.329204,0.502674,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.200,0.640339,0.165517,0.166355,0.492135,0.974143,,0.362315,0.526890,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.250,0.662519,0.205891,0.206853,0.519623,0.972068,,0.395426,0.551105,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.300,0.684699,0.246264,0.247352,0.547111,0.969993,,0.428537,0.575321,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.350,0.706879,0.286638,0.287850,0.574599,0.967918,,0.461647,0.599536,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.400,0.729058,0.327011,0.328349,0.602087,0.965843,,0.494758,0.623752,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.450,0.751238,0.367385,0.368847,0.629575,0.963768,,0.527869,0.647967,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.500,0.773418,0.407759,0.409346,0.657063,0.961693,,0.560979,0.672183,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.550,0.795598,0.448132,0.449844,0.684551,0.959618,,0.594090,0.696398,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.600,0.817778,0.488506,0.490342,0.712039,0.957543,,0.627201,0.720613,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.650,0.839957,0.528879,0.530841,0.739527,0.955468,,0.660312,0.744829,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.700,0.862137,0.569253,0.571339,0.767015,0.953393,,0.693422,0.769044,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.750,0.884317,0.609626,0.611838,0.794503,0.951318,,0.726533,0.793260,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.800,0.906497,0.650000,0.652336,0.821991,0.949243,,0.759644,0.817475,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.850,0.928677,0.690373,0.692835,0.849479,0.947168,,0.792755,0.841691,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.900,0.950856,0.730747,0.733333,0.876967,0.945093,,0.825865,0.865906,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,0.950,0.973036,0.771120,0.773832,0.904455,0.943018,,0.858976,0.890122,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,0,1.000,0.995216,0.811494,0.814330,0.931943,0.940943,,0.892087,0.914337,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.000,0.569517,0.028736,0.029907,0.362905,0.989766,,0.255735,0.441332,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.050,0.591041,0.068506,0.070281,0.389087,0.988828,,0.287979,0.465089,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.100,0.612565,0.108276,0.110655,0.415268,0.987891,,0.320223,0.488845,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.150,0.634089,0.148046,0.151028,0.441450,0.986954,,0.352468,0.512602,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.200,0.655614,0.187816,0.191402,0.467631,0.986016,,0.384712,0.536358,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.250,0.677138,0.227587,0.231776,0.493813,0.985078,,0.416956,0.560114,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.300,0.698662,0.267357,0.272150,0.519994,0.984141,,0.449201,0.583871,linear interpolation in oriented order-parameter space; not atomistic dynamics
6,1,0.350,0.720186,0.307127,0.312524,0.546176,0.983204,,0.481445,0.607627,linear interpolation in oriented order-parameter space; not atomistic dynamics
