model,model_label,feature_window,feature_group,window_center_d_A,window_min_d_A,window_max_d_A,simulated_peak_d_A,simulated_peak_intensity_norm,experimental_peak_d_A,experimental_peak_intensity_norm,peak_offset_d_A,window_area_simulated,window_area_experimental
only_bases,Bases only,5.6 A,primary,5.6,5.5,5.7,5.62272176729,0.000995872714961,5.577,0.506922837586,0.0457217672928,0.00014329750325,0.0921098319851
only_bases,Bases only,7.25 A,primary,7.25,7,7.5,7.01663454308,0.000700234825029,7.325,0.40969197262,-0.308365456918,0.000243371484561,0.175837429994
only_bases,Bases only,3.0 A,optional,3,2.9,3.1,3.06352544086,0.0018275971786,3.095,0.0515712507778,-0.0314745591445,0.000230733110784,0.00229873210952
only_bases,Bases only,4.1 A,optional,4.1,4,4.2,4.05964776927,0.00180691444472,4.198,0.315494710641,-0.138352230733,0.00020824087953,0.0162584007467
only_bases,Bases only,4.5-5.0 A,optional,4.75,4.5,5,4.69745715956,0.00330197265519,4.5,0.660003111388,0.197457159562,0.00105510750166,0.0629276991288
only_bases,Bases only,5.5 A,optional,5.5,5.4,5.6,5.46824763197,0.00105232291215,5.577,0.506922837586,-0.108752368025,0.000148967089032,0.0755768123833
only_bases,Bases only,7.0 A,optional,7,6.8,7.2,7.01663454308,0.000700234825029,7.166,0.360843186061,-0.149365456918,0.000171192740036,0.0801477520224
only_bases,Bases only,8.4 A,optional,8.4,8.2,8.6,8.4458409689,0.00611080958574,8.206,0.106798382078,0.239840968896,0.00123826159532,0.0281979231487
eight_hexads,8 hexads,3.4 A,primary,3.4,3.3,3.5,3.488064464,0.012587427099,3.381,0.939561294337,0.107064464,0.00105728773408,0.145579534848
eight_hexads,8 hexads,3.7 A,primary,3.7,3.6,3.8,3.62656224876,0.00721467243265,3.795,0.553671437461,-0.16843775124,0.000835853795759,0.0660399424393
eight_hexads,8 hexads,4.4 A,primary,4.4,4.3,4.5,4.46291994427,0.00730262798683,4.401,1,0.0619199442698,0.000988199197028,0.173910547604
eight_hexads,8 hexads,5.6 A,primary,5.6,5.5,5.7,5.62272176729,0.0111330730924,5.577,0.506922837586,0.0457217672928,0.00136774057855,0.0921098319851
eight_hexads,8 hexads,7.25 A,primary,7.25,7,7.5,7.41213881028,0.00734404567679,7.325,0.40969197262,0.0871388102752,0.00293217357255,0.175837429994
eight_hexads,8 hexads,3.0 A,optional,3,2.9,3.1,3.06352544086,0.00331858867685,3.095,0.0515712507778,-0.0314745591445,0.000515405007464,0.00229873210952
eight_hexads,8 hexads,4.1 A,optional,4.1,4,4.2,4.14259743655,0.00429520806565,4.198,0.315494710641,-0.0554025634536,0.00062489719917,0.0162584007467
eight_hexads,8 hexads,4.5-5.0 A,optional,4.75,4.5,5,4.53836680174,0.00630693459223,4.5,0.660003111388,0.0383668017393,0.00182913050045,0.0629276991288
eight_hexads,8 hexads,5.5 A,optional,5.5,5.4,5.6,5.46824763197,0.012184302949,5.577,0.506922837586,-0.108752368025,0.00137027524433,0.0755768123833
eight_hexads,8 hexads,7.0 A,optional,7,6.8,7.2,7.01663454308,0.00623645613302,7.166,0.360843186061,-0.149365456918,0.00172148054816,0.0801477520224
eight_hexads,8 hexads,8.4 A,optional,8.4,8.2,8.6,8.26823201483,0.00691661152145,8.206,0.106798382078,0.0622320148271,0.0018018904914,0.0281979231487
