structure_id,source_pdb,distance_window,window_type,atom_pair_class,residue_pair_class,chain_relation,pair_count,fraction_of_window,backbone_involving
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,855,0.056136,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,486,0.031909,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,633,0.041560,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,interchain,171,0.011227,no
central6,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,guessed_7p8_9p0,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,same_chain,330,0.021666,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p0,known,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,21,1.000000,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,known,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,same_chain,36,0.179104,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,known,backbone_like_vs_backbone_like,GLU_vs_GLU,interchain,21,0.104478,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,known,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,36,0.179104,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,known,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,72,0.358209,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,3p4,known,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,36,0.179104,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,interchain,30,0.010653,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,same_chain,36,0.012784,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,interchain,120,0.042614,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,same_chain,156,0.055398,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_backbone_like,GLU_vs_GLU,interchain,63,0.022372,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_backbone_like,GLU_vs_GLU,same_chain,36,0.012784,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,72,0.025568,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,known,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,108,0.038352,yes
