metric,feature,ensemble_type,unit6_value,unit7_value,difference_7_minus_6,standardized_effect_size,direction_of_change,cautious_interpretation
loose-initial bridge median activation time,contact_fraction_vs_target,bridge ordering,0.750000,0.800000,0.050000,,6-unit earlier,"At the 0.75 formed-fraction threshold, contact_fraction_vs_target activates at median t=0.750000 for 6 units and 0.800000 for 7 units."
loose-initial bridge median activation time,compactness_score,bridge ordering,0.800000,0.800000,0.000000,,similar,"At the 0.75 formed-fraction threshold, compactness_score activates at median t=0.800000 for 6 units and 0.800000 for 7 units."
loose-initial bridge median activation time,axial_register_score,bridge ordering,0.750000,0.800000,0.050000,,6-unit earlier,"At the 0.75 formed-fraction threshold, axial_register_score activates at median t=0.750000 for 6 units and 0.800000 for 7 units."
loose-initial bridge median activation time,rmsd_formedness_score,bridge ordering,0.750000,0.800000,0.050000,,6-unit earlier,"At the 0.75 formed-fraction threshold, rmsd_formedness_score activates at median t=0.750000 for 6 units and 0.800000 for 7 units."
loose-initial bridge median activation time,seed_formation_score,bridge ordering,0.750000,0.800000,0.050000,,6-unit earlier,"At the 0.75 formed-fraction threshold, seed_formation_score activates at median t=0.750000 for 6 units and 0.800000 for 7 units."
angular-randomized bridge median activation time,CYP_MEP_contact_fraction_vs_target,bridge ordering,0.775000,0.750000,-0.025000,,7-unit earlier,"At the 0.75 formed-fraction threshold, CYP_MEP_contact_fraction_vs_target activates at median t=0.775000 for 6 units and 0.750000 for 7 units."
angular-randomized bridge median activation time,contact_fraction_vs_target,bridge ordering,0.800000,0.750000,-0.050000,,7-unit earlier,"At the 0.75 formed-fraction threshold, contact_fraction_vs_target activates at median t=0.800000 for 6 units and 0.750000 for 7 units."
angular-randomized bridge median activation time,compactness_score,bridge ordering,0.800000,0.750000,-0.050000,,7-unit earlier,"At the 0.75 formed-fraction threshold, compactness_score activates at median t=0.800000 for 6 units and 0.750000 for 7 units."
angular-randomized bridge median activation time,axial_register_score,bridge ordering,0.800000,0.775000,-0.025000,,7-unit earlier,"At the 0.75 formed-fraction threshold, axial_register_score activates at median t=0.800000 for 6 units and 0.775000 for 7 units."
angular-randomized bridge median activation time,rmsd_formedness_score,bridge ordering,0.750000,0.750000,0.000000,,similar,"At the 0.75 formed-fraction threshold, rmsd_formedness_score activates at median t=0.750000 for 6 units and 0.750000 for 7 units."
angular-randomized bridge median activation time,seed_formation_score,bridge ordering,0.800000,0.750000,-0.050000,,7-unit earlier,"At the 0.75 formed-fraction threshold, seed_formation_score activates at median t=0.800000 for 6 units and 0.750000 for 7 units."
mini-hexaplex geometry,axial_extent_A,central mini-hexaplex reference,22.250214,28.414575,6.164361,,7-minus-6 reported,Reference central mini-hexaplex axial_extent_A changes by 6.164361 from 6 to 7 units.
mini-hexaplex geometry,radial_extent_mean_A,central mini-hexaplex reference,9.987315,9.987310,-0.000005,,7-minus-6 reported,Reference central mini-hexaplex radial_extent_mean_A changes by -0.000005 from 6 to 7 units.
mini-hexaplex geometry,suspicious_overlap_count,central mini-hexaplex reference,0.000000,0.000000,0.000000,,7-minus-6 reported,Reference central mini-hexaplex suspicious_overlap_count changes by 0.000000 from 6 to 7 units.
mini-hexaplex helicity,mean_helical_r2,central mini-hexaplex reference,1.000000,1.000000,0.000000,,7-minus-6 reported,Reference central mini-hexaplex mean_helical_r2 changes by 0.000000 from 6 to 7 units.
mini-hexaplex helicity,mean_twist_per_unit_deg,central mini-hexaplex reference,30.000527,30.000358,-0.000169,,7-minus-6 reported,Reference central mini-hexaplex mean_twist_per_unit_deg changes by -0.000169 from 6 to 7 units.
mini-hexaplex helicity,helical_coherence_score,central mini-hexaplex reference,1.000000,1.000000,0.000000,,7-minus-6 reported,Reference central mini-hexaplex helical_coherence_score changes by 0.000000 from 6 to 7 units.
