structure_id,source_pdb,distance_window,residue_pair_class,chain_relation,residue_sequence_relation,atom_pair_class,pair_count,fraction_of_window,mean_distance_A
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,72,0.025568,4.8247
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_base_like,162,0.057528,4.7623
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_scaffold_linker,108,0.038352,4.8031
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_backbone_like,84,0.029830,4.8823
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_base_like,56,0.019886,4.7155
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_scaffold_linker,126,0.044744,4.6012
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,adjacent_unit,scaffold_linker_vs_scaffold_linker,6,0.002131,4.6899
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,36,0.012784,4.7276
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,longer_range,scaffold_linker_vs_scaffold_linker,12,0.004261,4.7277
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,18,0.006392,4.7272
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,near_axial,scaffold_linker_vs_scaffold_linker,12,0.004261,4.7090
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,9,0.003196,4.7278
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,interchain,same_unit,scaffold_linker_vs_scaffold_linker,3,0.001065,4.7284
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,4p5_5p0,GLU_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,36,0.012784,4.5443
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_base_like,45,1.000000,3.0500
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,CYP_MEP_vs_CYP_MEP,interchain,adjacent_unit,base_like_vs_base_like,24,0.051613,3.4497
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,CYP_MEP_vs_CYP_MEP,interchain,longer_range,base_like_vs_base_like,120,0.258065,3.4495
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,CYP_MEP_vs_CYP_MEP,interchain,near_axial,base_like_vs_base_like,24,0.051613,3.4493
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,base_like_vs_base_like,84,0.180645,3.4020
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,84,0.180645,3.4662
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_base_like,84,0.180645,3.4564
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,GLU_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,36,0.077419,3.3739
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,GLU_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,6,0.012903,3.3744
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,3p4,GLU_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,3,0.006452,3.3737
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,adjacent_unit,backbone_like_vs_base_like,24,0.003723,4.6818
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,adjacent_unit,base_like_vs_base_like,210,0.032573,4.8055
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,longer_range,backbone_like_vs_backbone_like,60,0.009307,4.8753
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,longer_range,backbone_like_vs_base_like,120,0.018613,4.6817
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,longer_range,base_like_vs_base_like,1590,0.246626,4.8423
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,near_axial,backbone_like_vs_backbone_like,12,0.001861,4.8864
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,near_axial,backbone_like_vs_base_like,24,0.003723,4.6820
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,near_axial,base_like_vs_base_like,300,0.046533,4.8381
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,same_unit,backbone_like_vs_backbone_like,6,0.000931,4.8861
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,interchain,same_unit,base_like_vs_base_like,135,0.020940,4.8054
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,backbone_like_vs_backbone_like,84,0.013029,4.5925
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,backbone_like_vs_base_like,252,0.039088,4.6729
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_CYP_MEP,same_chain,adjacent_unit,base_like_vs_base_like,1638,0.254072,4.7988
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,adjacent_unit,backbone_like_vs_backbone_like,12,0.001861,4.7380
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,204,0.031643,4.7706
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,longer_range,backbone_like_vs_base_like,39,0.006049,4.6712
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,36,0.005584,4.7691
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,near_axial,backbone_like_vs_base_like,6,0.000931,4.6785
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,12,0.001861,4.7838
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,interchain,same_unit,backbone_like_vs_base_like,3,0.000465,4.6786
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,168,0.026059,4.8247
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_base_like,377,0.058477,4.7630
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_scaffold_linker,252,0.039088,4.8033
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_backbone_like,186,0.028851,4.8732
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_base_like,127,0.019699,4.7207
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,CYP_MEP_vs_GLU,same_chain,same_unit,backbone_like_vs_scaffold_linker,270,0.041880,4.6013
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,interchain,adjacent_unit,scaffold_linker_vs_scaffold_linker,6,0.000931,4.6899
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,interchain,longer_range,backbone_like_vs_backbone_like,108,0.016752,4.7274
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,interchain,longer_range,scaffold_linker_vs_scaffold_linker,60,0.009307,4.7128
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,interchain,near_axial,backbone_like_vs_backbone_like,18,0.002792,4.7272
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,interchain,near_axial,scaffold_linker_vs_scaffold_linker,12,0.001861,4.7090
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,interchain,same_unit,backbone_like_vs_backbone_like,9,0.001396,4.7278
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,interchain,same_unit,scaffold_linker_vs_scaffold_linker,3,0.000465,4.7284
full,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,4p5_5p0,GLU_vs_GLU,same_chain,adjacent_unit,backbone_like_vs_backbone_like,84,0.013029,4.5443
