twist_deg,pair_scope,distance_band,atom_class_a,atom_class_b,pair_count,mean_distance_A,median_distance_A,p10_distance_A,p90_distance_A,hist_peak_distance_A,delta_hist_peak_vs_30_A,delta_pair_count_vs_30,note
31,adjacent_layers,feature_4p4_4p15_4p65,base_core,side_chain_or_carboxylate,86,4.4732159566,4.53775054404,4.26552962714,4.61532214417,4.26,0,8,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_4p4_4p15_4p65,side_chain_or_carboxylate,side_chain_or_carboxylate,12,4.47902678109,4.44219624632,4.3379323373,4.62544578269,4.44,,,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_5p6_5p35_5p85,backbone,backbone,240,5.66404132672,5.66070477057,5.49176839451,5.81999292955,5.66,0.04,-13,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_5p6_5p35_5p85,backbone,base_core,310,5.57561735094,5.54881473798,5.39110810852,5.75285600371,5.44,-0.06,-36,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_5p6_5p35_5p85,backbone,side_chain_or_carboxylate,293,5.59116858455,5.55333107243,5.36797485084,5.77346301625,5.36,-0.24,12,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_5p6_5p35_5p85,base_core,base_core,359,5.63964365547,5.64446923988,5.49536533804,5.80221966146,5.52,-0.32,-155,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_5p6_5p35_5p85,base_core,side_chain_or_carboxylate,147,5.53137978619,5.48007025502,5.38709105529,5.79217914088,5.38,-0.08,20,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_5p6_5p35_5p85,side_chain_or_carboxylate,side_chain_or_carboxylate,101,5.60309645902,5.60715453684,5.40098074427,5.7887384636,5.6,-0.24,-7,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_7p3_7p0_7p6,backbone,backbone,339,7.22952896624,7.2428238968,7.03469078212,7.4003361679,7.13,0.06,125,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_7p3_7p0_7p6,backbone,base_core,909,7.30746637911,7.3229787655,7.07365303079,7.4999988932,7.49,0.3,185,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_7p3_7p0_7p6,backbone,side_chain_or_carboxylate,469,7.37034048884,7.43574454914,7.13500941789,7.58886159955,7.59,0.12,-29,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_7p3_7p0_7p6,base_core,base_core,581,7.29003845953,7.30095123939,7.09365357203,7.47344431972,7.39,0.1,-2,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_7p3_7p0_7p6,base_core,side_chain_or_carboxylate,422,7.31180086767,7.31572733907,7.0631126282,7.54462982511,7.27,-0.14,-37,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
31,adjacent_layers,feature_7p3_7p0_7p6,side_chain_or_carboxylate,side_chain_or_carboxylate,184,7.19937927354,7.15231871483,7.00455148456,7.46769012449,7.25,0.22,39,Adjacent-layer heavy-atom pairs; atom classes are heuristic.
