model_id,d_A,intensity
angle27_cand10,3.5141147027782615,2365529.830383578
angle27_cand10,3.4624190617140362,7257531.432578263
angle27_cand10,3.412306205705666,3753657.3676989055
angle27_cand10,3.3637057206694214,7525562.268695731
angle27_cand10,3.316551303551382,5301385.853083542
angle27_cand10,3.2707804665805473,4015534.980124712
angle27_cand10,3.226334266691961,3135743.6815635688
angle27_cand10,3.183157057655629,2780627.0633410392
angle27_cand10,3.1411962627189505,2474261.982248506
angle27_cand10,3.100402165808998,2302830.7328148913
angle27_cand10,3.0607277195507496,1925264.947156065
angle27_cand10,3.0221283685421896,1773709.1269906077
angle27_cand10,2.9845618864902175,1827848.240591471
angle27_cand10,2.9479882259554047,1830965.9121666937
angle27_cand10,2.912369379581268,1633956.6953420297
angle27_cand10,2.8776692517968083,1659973.2282811294
angle27_cand10,2.8438535400816245,1222868.0298736568
angle27_cand10,2.810889624972247,1245223.8627907278
angle27_cand10,2.7787464680680305,1362766.906548712
angle27_cand10,2.747394517365969,1462117.4111377876
angle27_cand10,2.7168056193173014,1752934.3399351407
angle27_cand10,2.6869529370555894,1952355.2763475133
angle27_cand10,2.657810874296835,1987926.3132864453
angle27_cand10,2.629355004457874,2000780.6690226928
angle27_cand10,2.601562004580294,1974703.861428326
angle27_cand10,2.57440959368403,1936073.2766088047
angle27_cand10,2.547876475208006,2073219.0249340283
angle27_cand10,2.5219422832251377,2279730.5961384117
angle27_cand10,2.4965875321460995,2344399.376832533
angle27_cand10,2.4717935696506212,2351093.3509925925
angle27_cand10,2.447542532607264,2395135.4627955435
angle27_cand10,2.4238173057626193,2716026.165862
angle27_cand10,2.400601482999028,2503682.0173564632
angle27_cand10,2.3778793309764166,3148460.840762934
angle27_cand10,2.3556357549888265,3406698.4990185667
angle27_cand10,2.3338562668798124,4204549.56949003
angle27_cand10,2.3125269548733143,4412479.978570973
angle27_cand10,2.2916344551879,5215993.378655861
angle27_cand10,2.2711659253125793,4523419.416157743
angle27_cand10,2.251109018831818,5486616.233298939
angle27_cand10,2.2314518616959678,3505696.4815212395
angle27_cand10,2.212183029841217,4607836.321170454
angle27_cand10,2.193291528070352,3766080.2564089946
angle27_cand10,2.1747667701122286,3323894.0241058306
angle27_cand10,2.156598559783912,3293287.0553257093
angle27_cand10,2.138777073184987,2722714.0082837525
