model_id,rise_label,rise_A,twist_deg,sidechain_variant,candidate_id,coordinate_file,coordinate_status,diffraction_status,diffraction_file,score_status,base_rmsd,helical_rmsd,combined_rmsd,notes
rise3p38_twist28_sidechain_cand5,rise3p38,3.380,28.000,sidechain,cand5,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand5\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand6,rise3p38,3.380,28.000,sidechain,cand6,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand6\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand7,rise3p38,3.380,28.000,sidechain,cand7,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand7\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand8,rise3p38,3.380,28.000,sidechain,cand8,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand8\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_sidechain_cand9,rise3p38,3.380,28.000,sidechain,cand9,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand9\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand0,rise3p38,3.380,29.000,sidechain,cand0,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand0\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand1,rise3p38,3.380,29.000,sidechain,cand1,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand1\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand10,rise3p38,3.380,29.000,sidechain,cand10,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand10\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand11,rise3p38,3.380,29.000,sidechain,cand11,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand11\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand12,rise3p38,3.380,29.000,sidechain,cand12,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand12\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand13,rise3p38,3.380,29.000,sidechain,cand13,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand13\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand2,rise3p38,3.380,29.000,sidechain,cand2,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand2\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand3,rise3p38,3.380,29.000,sidechain,cand3,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand3\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand4,rise3p38,3.380,29.000,sidechain,cand4,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand4\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand5,rise3p38,3.380,29.000,sidechain,cand5,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand5\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand6,rise3p38,3.380,29.000,sidechain,cand6,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand6\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand7,rise3p38,3.380,29.000,sidechain,cand7,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand7\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand8,rise3p38,3.380,29.000,sidechain,cand8,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand8\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist29_sidechain_cand9,rise3p38,3.380,29.000,sidechain,cand9,inputs\asem_matched_twist_scan\rise3p38\sidechain\29\cand9\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand0,rise3p38,3.380,30.000,sidechain,cand0,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand0\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand1,rise3p38,3.380,30.000,sidechain,cand1,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand1\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand2,rise3p38,3.380,30.000,sidechain,cand2,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand2\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand3,rise3p38,3.380,30.000,sidechain,cand3,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand3\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand4,rise3p38,3.380,30.000,sidechain,cand4,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand4\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand5,rise3p38,3.380,30.000,sidechain,cand5,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand5\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand6,rise3p38,3.380,30.000,sidechain,cand6,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand6\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand7,rise3p38,3.380,30.000,sidechain,cand7,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand7\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand8,rise3p38,3.380,30.000,sidechain,cand8,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand8\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist30_sidechain_cand9,rise3p38,3.380,30.000,sidechain,cand9,inputs\asem_matched_twist_scan\rise3p38\sidechain\30\cand9\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand0,rise3p38,3.380,31.000,sidechain,cand0,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand0\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand1,rise3p38,3.380,31.000,sidechain,cand1,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand1\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand10,rise3p38,3.380,31.000,sidechain,cand10,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand10\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand11,rise3p38,3.380,31.000,sidechain,cand11,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand11\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand12,rise3p38,3.380,31.000,sidechain,cand12,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand12\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist31_sidechain_cand13,rise3p38,3.380,31.000,sidechain,cand13,inputs\asem_matched_twist_scan\rise3p38\sidechain\31\cand13\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
