rise_label,twist_deg,candidate_id,source_pdb,dest_pdb,status,kept_atoms,removed_atoms
rise3p38,20,cand11,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand11\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand11\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand12,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand12\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand12\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand13,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand13\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand13\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand14,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand14\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand14\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand15,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand15\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand15\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand16,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand16\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand16\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand17,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand17\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand17\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand18,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand18\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand18\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand19,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand19\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand19\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand2,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand2\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand2\initial.pdb,glu_ablated,2364,1446
