rank,model_id,twist_deg,rise_A,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,base_rmsd,helical_rmsd,combined_rmsd,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,notes,model_status,diffraction_status,diffraction_file,angle_deg,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count
21,angle32_cand1,32,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand1.npy,32,cand1,inputs/asem_sidechains_20260625/raw/32/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand1.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand1.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle32_cand1_radial.csv,True,33,100,2,4,1,180,8
22,angle32_cand2,32,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand2.npy,32,cand2,inputs/asem_sidechains_20260625/raw/32/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand2.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand2.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle32_cand2_radial.csv,True,33,100,2,4,1,180,8
23,angle32_cand3,32,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand3.npy,32,cand3,inputs/asem_sidechains_20260625/raw/32/cand3/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand3.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand3.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand3.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle32_cand3_radial.csv,True,33,100,2,4,1,180,8
24,angle27_cand10,27,3.4,scored,5,5,0,1.000000000,0.007821154,0.080290355,0.071899006,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.npy,27,cand10,inputs/asem_sidechains_20260625/raw/27/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand10.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand10_radial.csv,True,33,100,2,4,1,180,8
25,angle27_cand18,27,3.4,scored,5,5,0,1.000000000,0.007821154,0.080290355,0.071899006,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.npy,27,cand18,inputs/asem_sidechains_20260625/raw/27/cand18/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand18.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand18_radial.csv,True,33,100,2,4,1,180,8
26,angle28_cand16,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.080290355,0.071899006,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand16.npy,28,cand16,inputs/asem_sidechains_20260625/raw/28/cand16/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand16.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand16.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand16.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand16_radial.csv,True,33,100,2,4,1,180,8
27,angle28_cand24,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.080290355,0.071899006,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand24.npy,28,cand24,inputs/asem_sidechains_20260625/raw/28/cand24/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand24.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand24.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand24.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand24_radial.csv,True,33,100,2,4,1,180,8
28,angle28_cand26,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.080290355,0.071899006,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand26.npy,28,cand26,inputs/asem_sidechains_20260625/raw/28/cand26/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand26.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand26.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand26.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand26_radial.csv,True,33,100,2,4,1,180,8
29,angle28_cand29,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.080290355,0.071899006,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand29.npy,28,cand29,inputs/asem_sidechains_20260625/raw/28/cand29/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand29.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand29.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand29.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand29_radial.csv,True,33,100,2,4,1,180,8
30,angle32_cand0,32,3.4,scored,5,5,0,1.000000000,0.007821154,0.080290355,0.071899006,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand0.npy,32,cand0,inputs/asem_sidechains_20260625/raw/32/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand0.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand0.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle32_cand0_radial.csv,True,33,100,2,4,1,180,8
31,angle28_cand17,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.100311469,0.089789458,3.387821154,3.830332885,4.251381407,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand17.npy,28,cand17,inputs/asem_sidechains_20260625/raw/28/cand17/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand17.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand17.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand17.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand17_radial.csv,True,33,100,2,4,1,180,8
