model_id,twist_deg,rise_A,model_status,diffraction_status,diffraction_file,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,base_rmsd,helical_rmsd,combined_rmsd,notes,angle_deg,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count
angle27_cand27,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand27.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand27,inputs/asem_sidechains_20260625/raw/27/cand27/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand27.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand27.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand27.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand27_radial.csv,True,33,100,2,4,1,180,8
angle27_cand28,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand28.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand28,inputs/asem_sidechains_20260625/raw/27/cand28/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand28.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand28.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand28.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand28_radial.csv,True,33,100,2,4,1,180,8
angle27_cand29,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand29.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand29,inputs/asem_sidechains_20260625/raw/27/cand29/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand29.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand29.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand29.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand29_radial.csv,True,33,100,2,4,1,180,8
angle27_cand3,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand3.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.468247632,7.208895339,0.007821154,0.149370236,0.133646579,,27,cand3,inputs/asem_sidechains_20260625/raw/27/cand3/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand3.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand3.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand3.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand3_radial.csv,True,33,100,2,4,1,180,8
angle27_cand30,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand30.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand30,inputs/asem_sidechains_20260625/raw/27/cand30/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand30.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand30.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand30.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand30_radial.csv,True,33,100,2,4,1,180,8
angle27_cand31,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand31.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand31,inputs/asem_sidechains_20260625/raw/27/cand31/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand31.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand31.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand31.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand31_radial.csv,True,33,100,2,4,1,180,8
angle27_cand32,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand32.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand32,inputs/asem_sidechains_20260625/raw/27/cand32/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand32.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand32.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand32.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand32_radial.csv,True,33,100,2,4,1,180,8
angle27_cand33,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand33.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand33,inputs/asem_sidechains_20260625/raw/27/cand33/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand33.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand33.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand33.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand33_radial.csv,True,33,100,2,4,1,180,8
angle27_cand34,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand34.npy,scored,5,5,0,1.000000000,3.387821154,3.960699724,4.251381407,5.744561801,7.208895339,0.007821154,0.127626291,0.114205999,,27,cand34,inputs/asem_sidechains_20260625/raw/27/cand34/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand34.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand34.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand34.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand34_radial.csv,True,33,100,2,4,1,180,8
angle27_cand35,27,3.4,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand35.npy,scored,5,5,0,1.000000000,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339,0.007821154,0.109174574,0.097711331,,27,cand35,inputs/asem_sidechains_20260625/raw/27/cand35/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand35.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand35.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand35.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand35_radial.csv,True,33,100,2,4,1,180,8
