model_id,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A
angle28_cand10,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand11,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand12,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand13,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand14,3.387821154,3.830332885,4.590147189,5.468247632,7.208895339
angle28_cand15,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand16,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339
angle28_cand17,3.387821154,3.830332885,4.251381407,5.744561801,7.208895339
angle28_cand18,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle28_cand19,3.387821154,3.708638789,4.251381407,5.468247632,7.208895339
angle28_cand2,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
angle28_cand20,3.387821154,3.708638789,4.251381407,5.468247632,7.208895339
angle28_cand21,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand22,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle28_cand23,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand24,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339
angle28_cand25,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle28_cand26,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339
angle28_cand27,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle28_cand28,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle28_cand29,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339
angle28_cand3,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
angle28_cand4,3.387821154,3.960699724,4.414046366,5.468247632,7.208895339
angle28_cand5,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand6,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand7,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle28_cand8,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle28_cand9,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle29_cand0,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand1,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand10,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle29_cand11,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand12,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand13,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle29_cand14,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle29_cand2,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand3,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand4,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand5,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand6,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle29_cand7,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle29_cand8,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle29_cand9,3.387821154,3.830332885,4.251381407,5.468247632,7.208895339
angle30_cand0,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle30_cand1,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle30_cand10,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle30_cand11,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle30_cand2,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle30_cand3,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle30_cand4,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle30_cand5,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle30_cand6,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle30_cand7,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle30_cand8,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle30_cand9,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand0,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand1,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand10,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand11,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand12,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand13,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand14,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand15,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand16,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand17,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand18,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand19,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand2,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand20,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand21,3.387821154,3.830332885,4.414046366,5.468247632,7.208895339
angle31_cand3,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand4,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand5,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand6,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand7,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand8,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle31_cand9,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle32_cand0,3.387821154,3.708638789,4.414046366,5.744561801,7.208895339
angle32_cand1,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle32_cand2,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle32_cand3,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339
angle32_cand4,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle32_cand5,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
angle32_cand6,3.387821154,3.708638789,4.251381407,5.744561801,7.208895339
