rank,model_id,twist_deg,rise_A,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,base_rmsd,helical_rmsd,combined_rmsd,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,notes,candidate_id,xyz_file,corrected_diffraction_npy,corrected_diffraction_png,corrected_diffraction_json,radial_profile_csv,status,runtime_seconds
21,angle30_cand7,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.113040352,0.101368623,3.363705721,3.927245421,4.544773274,5.534749550,7.326059938,,cand7,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand7.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand7.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand7.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand7.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand7_radial.csv,complete,1.528295800
22,angle30_cand4,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand4,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand4.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand4.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand4.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand4.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand4_radial.csv,complete,1.510502300
23,angle30_cand5,30,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand5,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand5.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand5.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand5.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand5.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand5_radial.csv,complete,1.494038301
24,angle31_cand0,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand0,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand0.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand0.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand0.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand0.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand0_radial.csv,complete,1.503085501
25,angle31_cand1,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand1,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand1.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand1.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand1.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand1.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand1_radial.csv,complete,1.492197800
26,angle31_cand2,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand2,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand2.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand2.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand2.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand2.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand2_radial.csv,complete,1.512216600
27,angle31_cand3,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand3,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand3.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand3.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand3.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand3.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand3_radial.csv,complete,1.503227401
28,angle31_cand4,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand4,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand4.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand4.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand4.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand4.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand4_radial.csv,complete,1.516463299
29,angle31_cand5,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand5,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand5.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand5.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand5.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand5.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand5_radial.csv,complete,1.566689700
30,angle31_cand6,31,3.38,scored,5,5,0,1.000000000,0.016294279,0.115890922,0.103911816,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,,cand6,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle31_cand6.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand6.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand6.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle31_cand6.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle31_cand6_radial.csv,complete,1.525272300
