q_Ainv,d_A,intensity
2.200000,2.855993,347.630032
2.210000,2.843070,340.753339
2.220000,2.830264,342.024863
2.230000,2.817572,351.895173
2.240000,2.804993,369.311038
2.250000,2.792527,392.130837
2.260000,2.780170,417.703241
2.270000,2.767923,443.462416
2.280000,2.755783,467.407795
2.290000,2.743749,488.378560
2.300000,2.731820,506.090136
2.310000,2.719994,520.958111
2.320000,2.708270,533.781072
2.330000,2.696646,545.378623
2.340000,2.685122,556.280859
2.350000,2.673696,566.543128
2.360000,2.662367,575.722229
2.370000,2.651133,583.007287
2.380000,2.639994,587.460934
2.390000,2.628948,588.302272
2.400000,2.617994,585.157155
2.410000,2.607131,578.213541
2.420000,2.596358,568.245854
2.430000,2.585673,556.505407
2.440000,2.575076,544.505738
2.450000,2.564565,533.754822
2.460000,2.554140,525.495784
2.470000,2.543800,520.512495
2.480000,2.533542,519.038462
2.490000,2.523368,520.781723
2.500000,2.513274,525.051406
