model_id,twist_deg,rise_A,coordinate_file,diffraction_status,diffraction_file,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,base_rmsd,helical_rmsd,combined_rmsd,notes,rise_label,sidechain_variant,candidate_id,coordinate_status,xyz_file,xyz_status,radial_csv,radial_status
rise3p38_twist28_sidechain_cand27,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand27\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand27.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.234243456,5.567261517,7.232023634,0.054165473,0.125978263,0.115252757,primary matched 28-32 twist scan,rise3p38,sidechain,cand27,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand27\rise3p38_twist28_sidechain_cand27.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand27.csv,success
rise3p38_twist28_sidechain_cand28,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand28\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand28.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.234243456,5.567261517,7.232023634,0.054165473,0.125978263,0.115252757,primary matched 28-32 twist scan,rise3p38,sidechain,cand28,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand28\rise3p38_twist28_sidechain_cand28.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand28.csv,success
rise3p38_twist28_sidechain_cand29,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand29\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand29.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.234243456,5.567261517,7.232023634,0.054165473,0.125978263,0.115252757,primary matched 28-32 twist scan,rise3p38,sidechain,cand29,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand29\rise3p38_twist28_sidechain_cand29.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand29.csv,success
rise3p38_twist28_sidechain_cand3,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand3\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand3.npy,scored,5,5,0,1.000000000,3.434165473,3.989264765,4.544773274,5.824128735,7.232023634,0.054165473,0.151428246,0.137590663,primary matched 28-32 twist scan,rise3p38,sidechain,cand3,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand3\rise3p38_twist28_sidechain_cand3.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand3.csv,success
rise3p38_twist28_sidechain_cand30,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand30\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand30.npy,scored,5,5,0,1.000000000,3.434165473,3.989264765,4.234243456,5.567261517,7.232023634,0.054165473,0.136713959,0.124656909,primary matched 28-32 twist scan,rise3p38,sidechain,cand30,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand30\rise3p38_twist28_sidechain_cand30.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand30.csv,success
rise3p38_twist28_sidechain_cand4,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand4\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand4.npy,scored,5,5,0,1.000000000,3.434165473,3.956653811,4.388828502,5.824128735,7.232023634,0.054165473,0.122072542,0.111839814,primary matched 28-32 twist scan,rise3p38,sidechain,cand4,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand4\rise3p38_twist28_sidechain_cand4.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand4.csv,success
rise3p38_twist28_sidechain_cand5,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand5\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand5.npy,scored,5,5,0,1.000000000,3.422205595,3.916664322,4.290872040,5.735857739,7.232023634,0.042205595,0.096839833,0.088648887,primary matched 28-32 twist scan,rise3p38,sidechain,cand5,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand5\rise3p38_twist28_sidechain_cand5.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand5.csv,success
rise3p38_twist28_sidechain_cand6,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand6\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand6.npy,scored,5,5,0,1.000000000,3.434165473,3.916664322,4.290872040,5.735857739,7.232023634,0.054165473,0.096839833,0.089939660,primary matched 28-32 twist scan,rise3p38,sidechain,cand6,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand6\rise3p38_twist28_sidechain_cand6.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand6.csv,success
rise3p38_twist28_sidechain_cand7,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand7\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand7.npy,scored,5,5,0,1.000000000,3.422205595,3.916664322,4.290872040,5.735857739,7.232023634,0.042205595,0.096839833,0.088648887,primary matched 28-32 twist scan,rise3p38,sidechain,cand7,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand7\rise3p38_twist28_sidechain_cand7.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand7.csv,success
rise3p38_twist28_sidechain_cand8,28.000,3.380,inputs\asem_matched_twist_scan\rise3p38\sidechain\28\cand8\initial.pdb,success,C:\Users\hpage3\OneDrive - Georgia Institute of Technology\Documents\GitHub\research\hexaplex-formation\outputs\asem_matched_twist_scan_28_32\corrected_diffraction\rise3p38_twist28_sidechain_cand8.npy,scored,5,5,0,1.000000000,3.434165473,3.916664322,4.290872040,5.735857739,7.232023634,0.054165473,0.096839833,0.089939660,primary matched 28-32 twist scan,rise3p38,sidechain,cand8,available,outputs\asem_matched_twist_scan_28_32\xyz_unique\rise3p38\sidechain\28\cand8\rise3p38_twist28_sidechain_cand8.xyz,converted,outputs\asem_matched_twist_scan_28_32\radial_profiles\rise3p38_twist28_sidechain_cand8.csv,success
