bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
201,1.60182596037,3.92251434466,270514.145574,0.0291319850052,56
202,1.60954263398,3.90370852847,293411.608965,0.0315978396419,48
203,1.61725596679,3.88509019983,187703.954328,0.0202140585709,60
204,1.62496594509,3.86665660665,327945.412166,0.0353168253345,68
205,1.63267255522,3.84840505041,282303.527583,0.0304015973545,64
206,1.64037578354,3.83033288484,226749.652073,0.0244189354686,56
207,1.64807561645,3.81243751468,214814.014454,0.0231335726814,64
208,1.6557720404,3.79471639446,293751.326519,0.031634424223,52
209,1.66346504186,3.7771670273,298694.461707,0.0321667562379,64
210,1.67115460736,3.75978696377,223005.089285,0.0240156791185,68
211,1.67884072345,3.74257380073,237953.190812,0.0256254576705,56
212,1.68652337673,3.72552518031,266843.333501,0.0287366709559,56
213,1.69420255383,3.70863878878,242424.978233,0.0261070296925,84
214,1.70187824143,3.69191235555,261624.048514,0.0281746000459,64
215,1.70955042624,3.6753436522,253598.485934,0.0273103178167,48
216,1.717219095,3.65893049143,196357.522441,0.021145971451,60
217,1.72488423452,3.6426707262,231887.751096,0.0249722633671,48
218,1.73254583161,3.62656224876,279270.437775,0.0300749603625,92
219,1.74020387315,3.61060298975,253035.270061,0.0272496644401,40
220,1.74785834605,3.59479091735,209411.12688,0.0225517293939,80
221,1.75550923724,3.57912403643,217914.68919,0.0234674879733,48
222,1.76315653372,3.56360038773,255230.351517,0.0274860553317,76
223,1.77080022251,3.54821804702,227369.196102,0.0244856548903,84
224,1.77844029068,3.5329751244,217900.783312,0.0234659904332,56
225,1.78607672532,3.51786976343,254962.014575,0.0274571578123,40
226,1.7937095136,3.50290014049,188678.163291,0.0203189722745,88
227,1.80133864268,3.488064464,268128.009443,0.028875019212,68
228,1.80896409981,3.47336097375,241552.798634,0.0260131036506,64
229,1.81658587223,3.45878794019,215613.593408,0.023219680275,60
230,1.82420394725,3.44434366379,197689.719713,0.0212894373348,80
231,1.83181831223,3.43002647437,204451.210677,0.0220175902117,32
232,1.83942895454,3.41583473048,241038.783809,0.0259577487924,92
233,1.84703586161,3.4017668188,212636.307916,0.022899052915,72
234,1.85463902091,3.38782115351,208056.552388,0.0224058536811,80
235,1.86223841994,3.37399617572,216288.158185,0.0232923249455,40
236,1.86983404626,3.36029035291,209595.297143,0.022571562905,88
237,1.87742588744,3.34670217835,224990.383028,0.0242294777257,80
238,1.88501393112,3.33323017059,209903.433323,0.0226047464509,64
239,1.89259816496,3.31987287292,188749.386689,0.0203266424057,64
240,1.90017857668,3.30662885283,190177.52299,0.0204804400757,64
241,1.90775515403,3.29349670156,229211.389179,0.0246840428193,60
242,1.9153278848,3.28047503357,206263.099479,0.0222127146379,92
243,1.92289675682,3.26756248607,188092.44157,0.0202558952168,72
244,1.93046175798,3.25475771857,210734.990282,0.0226942977933,48
245,1.93802287617,3.24205941242,200381.083723,0.0215792734755,84
246,1.94558009937,3.22946627034,205002.569669,0.022076966707,80
247,1.95313341557,3.21697701605,180218.030963,0.0194078907206,72
248,1.96068281281,3.20459039377,217751.272484,0.023449889437,56
249,1.96822827918,3.19230516788,174979.988245,0.0188437997686,92
250,1.97576980279,3.18012012246,197288.054562,0.0212461815444,68
251,1.98330737181,3.16803406093,209476.396985,0.0225587584079,72
252,1.99084097444,3.15604580569,184323.835165,0.0198500495814,72
253,1.99837059894,3.14415419768,175649.085467,0.0189158556317,80
254,2.0058962336,3.13235809607,203672.204403,0.0219336981142,48
255,2.01341786674,3.12065637788,211274.198183,0.0227523657234,104
256,2.02093548675,3.10904793764,170571.98502,0.0183690967412,80
257,2.02844908203,3.09753168706,187479.653567,0.0201899033594,72
258,2.03595864105,3.08610655468,179253.386263,0.0193040070036,56
259,2.0434641523,3.07477148552,173925.736079,0.0187302661186,76
260,2.05096560433,3.06352544086,188931.052069,0.0203462061631,88
261,2.05846298572,3.05236739779,191983.869777,0.0206749676757,80
262,2.0659562851,3.04129634905,166206.785448,0.0178990032892,76
263,2.07344549114,3.03031130263,176810.703774,0.0190409516669,72
264,2.08093059255,3.01941128151,208144.737707,0.0224153504613,76
265,2.08841157808,3.00859532342,176083.219054,0.0189626079858,104
266,2.09588843653,2.9978624805,155732.98843,0.0167710678276,56
267,2.10336115673,2.98721181908,190072.582578,0.0204691389199,72
268,2.11082972758,2.97664241937,181786.656868,0.0195768178806,48
269,2.11829413799,2.96615337526,169439.096705,0.0182470946723,120
270,2.12575437693,2.955743794,186125.64732,0.0200440888417,72
271,2.13321043341,2.94541279603,178561.603699,0.0192295081295,80
272,2.14066229647,2.93515951466,149004.511211,0.0160464702395,80
273,2.14810995523,2.9249830959,197350.424121,0.0212528981952,76
274,2.15555339881,2.91488269818,183592.816222,0.0197713252957,96
275,2.16299261639,2.90485749215,156875.612144,0.016894118313,68
276,2.17042759719,2.89490666047,164462.62449,0.017711172554,96
277,2.17785833049,2.88502939755,182628.352289,0.0196674610457,48
278,2.1852848056,2.8752249094,175027.523181,0.0188489188615,92
279,2.19270701185,2.86549241336,166519.661644,0.0179326972931,88
280,2.20012493866,2.85583113794,171114.380193,0.0184275079122,96
281,2.20753857545,2.84624032262,181255.085893,0.01951957238,48
282,2.21494791171,2.83671921762,139362.848083,0.0150081482505,84
283,2.22235293696,2.82726708376,194576.100001,0.0209541279831,100
284,2.22975364078,2.81788319224,164730.142564,0.0177399818885,104
285,2.23715001276,2.80856682446,142508.273683,0.0153468828155,64
286,2.24454204257,2.79931727186,172466.860349,0.0185731580835,88
287,2.25192971991,2.79013383572,176692.55553,0.0190282281443,68
288,2.2593130345,2.78101582704,154921.15114,0.0166836401195,100
289,2.26669197614,2.77196256629,163917.163647,0.0176524312373,88
290,2.27406653466,2.76297338333,166175.047331,0.0178955853743,80
291,2.28143669992,2.75404761719,169237.791326,0.0182254158605,40
292,2.28880246184,2.74518461595,159001.714398,0.0171230807536,140
293,2.29616381037,2.73638373656,179430.169008,0.0193230449444,88
294,2.30352073552,2.72764434472,159255.669556,0.0171504294818,72
295,2.31087322733,2.71896581469,139641.034659,0.0150381064885,68
296,2.31822127588,2.71034752918,163758.459995,0.0176353402552,84
297,2.32556487131,2.7017888792,169322.904329,0.0182345817794,112
298,2.3329040038,2.69328926392,152647.140763,0.01643874928,88
299,2.34023866356,2.68484809051,167400.890881,0.0180275979012,88
300,2.34756884084,2.67646477405,155404.374913,0.0167356790533,64
301,2.35489452597,2.66813873738,130332.700725,0.0140356811106,76
302,2.36221570928,2.65986941095,154999.502781,0.0166920778995,64
303,2.36953238116,2.65165623274,127018.734756,0.0136787962361,72
304,2.37684453206,2.64349864807,154435.51171,0.0166313410408,40
305,2.38415215245,2.63539610956,132523.431202,0.0142716034403,104
306,2.39145523286,2.62734807695,140997.421981,0.015184177427,56
307,2.39875376385,2.61935401702,103872.893924,0.0111861935419,64
308,2.40604773603,2.61141340344,149045.067004,0.0160508377403,60
309,2.41333714005,2.60352571669,120167.836649,0.0129410149992,72
310,2.42062196662,2.59569044395,95722.8220443,0.0103085027607,40
311,2.42790220647,2.58790707897,123002.872453,0.0132463233236,88
312,2.43517785039,2.58017512198,132311.244939,0.0142487528532,48
313,2.44244888921,2.57249407958,89894.1864069,0.00968081016577,48
314,2.4497153138,2.56486346466,121001.908952,0.0130308372218,40
315,2.45697711507,2.55728279627,113778.517832,0.0122529417764,84
316,2.46423428398,2.54975159953,91680.9528252,0.00987322913298,40
317,2.47148681154,2.54226940555,95957.7945917,0.0103338072293,48
318,2.47873468879,2.53483575132,129334.427638,0.0139281759134,56
319,2.48597790682,2.52745017964,83928.235428,0.00903832992101,56
