model_id,target_label,observed_d_A,observed_intensity,target_d_A,delta_d_A,window_min_d_A,window_max_d_A,peak_status
angle29_cand0,base,3.363705721,13581995.606614141,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand0,A,3.927245421,3098201.411728519,3.800000000,0.127245421,3.600000000,4.000000000,found
angle29_cand0,B,4.544773274,2923749.722638394,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand0,C,5.534749550,8101542.012574767,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle29_cand0,D,7.326059938,3401727.966333716,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand1,base,3.363705721,13662086.816655245,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand1,A,3.994754549,3085735.518583239,3.800000000,0.194754549,3.600000000,4.000000000,found
angle29_cand1,B,4.544773274,2751901.276925871,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand1,C,5.534749550,8315508.929756558,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle29_cand1,D,7.326059938,3205661.002402258,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand11,base,3.363705721,9373267.748664754,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand11,A,3.738296311,2844768.204588330,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle29_cand11,B,4.544773274,3023032.113748299,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand11,C,5.534749550,9968159.035510648,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle29_cand11,D,7.326059938,3116813.121471751,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand12,base,3.363705721,9501785.283147616,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand12,A,3.738296311,2850129.650914561,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle29_cand12,B,4.544773274,2970337.806782546,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand12,C,5.534749550,10038250.149254862,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle29_cand12,D,7.326059938,3064307.768177570,7.300000000,0.026059938,7.100000000,7.500000000,found
angle29_cand2,base,3.363705721,14046385.756242707,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle29_cand2,A,3.738296311,3190525.120800658,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle29_cand2,B,4.544773274,2848403.861898517,4.400000000,0.144773274,4.200000000,4.600000000,found
angle29_cand2,C,5.534749550,7891788.250715774,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle29_cand2,D,7.326059938,3369878.088534577,7.300000000,0.026059938,7.100000000,7.500000000,found
angle30_cand0,base,3.363705721,13892353.637900736,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle30_cand0,A,3.738296311,3558278.305912714,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle30_cand0,B,4.544773274,2824725.122669235,4.400000000,0.144773274,4.200000000,4.600000000,found
angle30_cand0,C,5.534749550,6783298.060451331,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle30_cand0,D,7.326059938,3589619.284545123,7.300000000,0.026059938,7.100000000,7.500000000,found
angle30_cand1,base,3.363705721,13889313.119682707,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle30_cand1,A,3.738296311,3595226.473889615,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle30_cand1,B,4.544773274,2813771.967819673,4.400000000,0.144773274,4.200000000,4.600000000,found
angle30_cand1,C,5.534749550,7292561.388221107,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle30_cand1,D,7.326059938,3435713.160706507,7.300000000,0.026059938,7.100000000,7.500000000,found
angle30_cand10,base,3.363705721,9379156.671136951,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle30_cand10,A,3.738296311,3232721.264313587,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle30_cand10,B,4.544773274,2921696.722790824,4.400000000,0.144773274,4.200000000,4.600000000,found
angle30_cand10,C,5.534749550,8583748.617120173,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle30_cand10,D,7.326059938,3164964.725559998,7.300000000,0.026059938,7.100000000,7.500000000,found
angle30_cand2,base,3.363705721,13911807.748636307,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle30_cand2,A,3.738296311,3532335.356167255,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle30_cand2,B,4.544773274,2763101.123250382,4.400000000,0.144773274,4.200000000,4.600000000,found
angle30_cand2,C,5.534749550,7408827.555658763,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle30_cand2,D,7.326059938,3346243.938793111,7.300000000,0.026059938,7.100000000,7.500000000,found
angle30_cand3,base,3.363705721,13759417.760541208,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle30_cand3,A,3.738296311,3691632.376189077,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle30_cand3,B,4.544773274,2941784.350680425,4.400000000,0.144773274,4.200000000,4.600000000,found
angle30_cand3,C,5.534749550,7050767.317649980,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle30_cand3,D,7.326059938,3633524.843410880,7.300000000,0.026059938,7.100000000,7.500000000,found
angle31_cand0,base,3.363705721,13677658.587456018,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle31_cand0,A,3.738296311,3392277.729542978,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle31_cand0,B,4.544773274,2954475.730533031,4.400000000,0.144773274,4.200000000,4.600000000,found
angle31_cand0,C,5.534749550,6090696.994670346,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle31_cand0,D,7.326059938,3591460.541982591,7.300000000,0.026059938,7.100000000,7.500000000,found
angle31_cand1,base,3.363705721,13797750.935510006,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle31_cand1,A,3.738296311,3489173.713009755,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle31_cand1,B,4.544773274,2868001.380249577,4.400000000,0.144773274,4.200000000,4.600000000,found
angle31_cand1,C,5.534749550,5939038.437707490,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle31_cand1,D,7.326059938,3615035.645840499,7.300000000,0.026059938,7.100000000,7.500000000,found
angle31_cand10,base,3.363705721,12784566.671039943,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle31_cand10,A,3.738296311,3215546.193256132,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle31_cand10,B,4.544773274,2961633.785240585,4.400000000,0.144773274,4.200000000,4.600000000,found
angle31_cand10,C,5.534749550,7138896.187495381,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle31_cand10,D,7.326059938,3191677.246462815,7.300000000,0.026059938,7.100000000,7.500000000,found
angle31_cand12,base,3.363705721,12465913.478494551,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle31_cand12,A,3.738296311,3372133.668400783,3.800000000,-0.061703689,3.600000000,4.000000000,found
angle31_cand12,B,4.544773274,3112777.658641926,4.400000000,0.144773274,4.200000000,4.600000000,found
angle31_cand12,C,5.534749550,7008301.933567801,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle31_cand12,D,7.326059938,3359180.595686006,7.300000000,0.026059938,7.100000000,7.500000000,found
angle31_cand13,base,3.363705721,12856914.267706752,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle31_cand13,A,3.738296311,3435994.190313829,3.800000000,-0.061703689,3.600000000,4.000000000,found
